pred,img
Purple Heron,static\predicted\Purple Heron0.jpg
Brown Boobook,static\predicted\Brown Boobook0.jpg
White-breasted Waterhen,static\predicted\White-breasted Waterhen0.jpg
White-breasted Waterhen,static\predicted\White-breasted Waterhen1.jpg
Chinese Egret,static\predicted\Chinese Egret0.jpg
Indian Pond Heron,static\predicted\Indian Pond Heron0.jpg
Grey-headed Fish Eagle,static\predicted\Grey-headed Fish Eagle0.jpg
Striated Heron,static\predicted\Striated Heron0.jpg
Little Egret,static\predicted\Little Egret0.jpg
Malayan Night Heron,static\predicted\Malayan Night Heron0.jpg
Striated Heron,static\predicted\Striated Heron1.jpg
Striated Heron,static\predicted\Striated Heron2.jpg
Collared Kingfisher,static\predicted\Collared Kingfisher0.jpg
Striated Heron,static\predicted\Striated Heron3.jpg
Striated Heron,static\predicted\Striated Heron4.jpg
